segment,Boylston WB,Park WB,Govt Ctr WB,Haymarket WB,N Sta WB,Sci Park WB
KenmoreEB,,,,,,
Kenmore_HynesEB,,,,,,
HynesEB,,,6,,,
Hynes_CopleyEB,,,6,,,
SymphonyEB,,,,,,
Symphony_PrudentialEB,,,,,,
PrudentialEB,,,6,,,
Prudential_CopleyEB,,,6,,,
CopleyEB,,6,5,,,
Copley_ArlingtonEB,,6,5,,,
ArlingtonEB,6,5,4,,,
Arlington_BoylstonEB,6,5,4,,,
BoylstonEB,5,4,3,,,
Boylston_ParkEB,5,4,3,,,
Park_Fence_EB,2,1,,,,
Park_Wall_EB,4,3,2,,,
Park_Loop,2,Approaching,,,,
Park_Govt_CtrEB,4,3,2,,,
Govt_CtrEB,3,2,1,,,
Govt_Ctr_Haymarket_or_LoopEB,3,2,Approaching,,,
HaymarketEB,,,,,,
Haymarket_N_StaEB,,,,,,
N_StaEB,,,,,,
N_Sta_Before_TurnbackEB,,,,,,
N_Sta_Turnback,5,4,3,2,1,
N_Sta_Sci_ParkEB,,,6,5,4,3
Sci_ParkEB,,6,5,4,3,2
Sci_Park_LechmereEB,,6,5,4,3,2
Lechmere,6,5,4,3,2,1
Lechmere_Rev,6,5,4,3,2,1
Lechmere_Sci_ParkWB,6,5,4,3,2,Approaching
Sci_ParkWB,5,4,3,2,1,Boarding
Sci_Park_N_StaWB,5,4,3,2,Approaching,
N_StaWB,4,3,2,1,Boarding,
N_Sta_HaymarketWB,4,3,2,Approaching,,
HaymarketWB,3,2,1,Boarding,,
Haymarket_Govt_CtrWB,3,2,Approaching,,,
Govt_CtrWB,2,1,Boarding,,,
Govt_Ctr_ParkWB,2,Approaching,,,,
Park_Wall_WB,1,Boarding,,,,
Park_Fence_WB,1,Boarding,,,,
Park_BoylstonWB,Approaching,,,,,
BoylstonWB,Boarding,,,,,
