segment,Boylston WB,Park WB,Govt Ctr WB,Haymarket WB,N Sta WB,Sci Park WB
KenmoreEB,,,,,,
Kenmore_HynesEB,,,,,,
HynesEB,,,,,,
Hynes_CopleyEB,,,,,,
SymphonyEB,,,,,,
Symphony_PrudentialEB,,,,,,
PrudentialEB,,,,,,
Prudential_CopleyEB,,,,,,
CopleyEB,,,,,,
Copley_ArlingtonEB,,,,,,
ArlingtonEB,,,,,,
Arlington_BoylstonEB,,,,,,
BoylstonEB,,,,,6,
Boylston_ParkEB,,,,,6,
Park_Fence_EB,2,1,,,,
Park_Wall_EB,,,,6,5,
Park_Loop,2,Approaching,,,,
Park_Govt_CtrEB,,,,6,5,
Govt_CtrEB,,,6,5,4,
Govt_Ctr_Haymarket_or_LoopEB,,,6,5,4,
HaymarketEB,,6,5,4,3,
Haymarket_N_StaEB,,6,5,4,3,
N_StaEB,6,5,4,3,2,
N_Sta_Before_TurnbackEB,6,5,4,3,2,
N_Sta_Turnback,5,4,3,2,1,
N_Sta_Sci_ParkEB,,,6,5,4,3
Sci_ParkEB,,6,5,4,3,2
Sci_Park_LechmereEB,,6,5,4,3,2
Lechmere,6,5,4,3,2,1
Lechmere_Rev,6,5,4,3,2,1
Lechmere_Sci_ParkWB,6,5,4,3,2,Approaching
Sci_ParkWB,5,4,3,2,1,Boarding
Sci_Park_N_StaWB,5,4,3,2,Approaching,
N_StaWB,4,3,2,1,Boarding,
N_Sta_HaymarketWB,4,3,2,Approaching,,
HaymarketWB,3,2,1,Boarding,,
Haymarket_Govt_CtrWB,3,2,Approaching,,,
Govt_CtrWB,2,1,Boarding,,,
Govt_Ctr_ParkWB,2,Approaching,,,,
Park_Wall_WB,1,Boarding,,,,
Park_Fence_WB,1,Boarding,,,,
Park_BoylstonWB,Approaching,,,,,
BoylstonWB,Boarding,,,,,
