"shape_id","route_id","via_variant","trp_direction","trip_headsign"
"010038","01","_","Outbound","Harvard"
"010058","01","_","Inbound","Dudley"
"040033","04","1ou","Outbound","North Station"
"040034","04","_ou","Outbound","North Station via South Station"
"040037","04","_","Inbound","Tide St"
"040038","04","1","Inbound","Tide St via South Station"
"050036","05","_","Outbound","City Point"
"050037","05","_","Inbound","McCormack"
"070070","07","1","Inbound","Otis & Summer"
"070071","07","7","Outbound","City Point via East First"
"070072","07","5","Inbound","Congress & Atlantic"
"070073","07","2","Inbound","Otis & Summer"
"070074","07","2","Outbound","City Point via East First"
"070075","07","1","Outbound","City Point"
"080126","08","1","Inbound","Kenmore"
"080127","08","9","Inbound","Kenmore via South Bay Center"
"080128","08","1","Outbound","UMass"
"080129","08","9","Outbound","UMass via South Bay Center"
"080137","08","2","Outbound","Dudley Station"
"090119","09","_","Outbound","City Point"
"090120","09","1","Outbound","City Point"
"090123","09","_","Inbound","Copley Square"
"090124","09","4","Inbound","Kenmore Station via Boston Latin"
"090125","09","1","Inbound","Copley Square"
"090126","09","5","Outbound","City Point via Andrew Station"
"1000032","100","3","Inbound","Wellington via Fellsway"
"1000033","100","3","Outbound","Elm St. via Fellsway"
"1000034","100","1","Inbound","Wellington via Fellsway"
"1000035","100","1","Outbound","Roosevelt Circle via Fellsway"
"1000048","100","_","Inbound","Fells Garage via Fellsway"
"100098","10","8","Outbound","City Point"
"100099","10","_","Inbound","Copley"
"100100","10","9","Inbound","Copley via South Bay Center"
"100101","10","5","Outbound","City Point"
"100103","10","_","Outbound","City Point"
"100111","10","9","Outbound","City Point via South Bay Center"
"100112","10","6","Outbound","Andrew Station via South Bay Center"
"100116","10","2","Inbound","Townsend & Humboldt"
"1010088","101","1","Inbound","Sullivan Square via Main St."
"1010095","101","2","Outbound","Winthrop St. & Brooks St. via George St."
"1010113","101","_","Inbound","Sullivan Square via Main St."
"1010139","101","8","Inbound","Sullivan Square via Main St."
"1010149","101","3","Outbound","Malden Station via Main St."
"1010150","101","4ou","Outbound","Malden Station via Main St."
"1010151","101","1","Outbound","Medford Square via Main St."
"1010152","101","_","Outbound","Stevens Square"
"1010162","101","4","Inbound","Sullivan Square via Salem St."
"1010163","101","3","Inbound","Sullivan Square via Salem St."
"1040033","104","_","Outbound","Malden Station via Ferry St."
"1040063","104","_","Inbound","Sullivan Station via Ferry St."
"1050061","105","1","Inbound","Sullivan Station via Newland St. Housing"
"1050063","105","1","Outbound","Malden Station via Newland St. Housing"
"1060099","106","4","Inbound","Malden Station via Main St."
"1060100","106","4","Outbound","Lebanon Loop via Main St."
"1060110","106","F","Outbound","Franklin Square via Lebanon Loop"
"1060111","106","5","Outbound","Linwood Ave. & Lynde St. via Main St."
"1060112","106","5","Inbound","Malden Station via Main St."
"1060115","106","_","Inbound","Wellington via Main St."
"1060146","106","3","Inbound","Wellington via Forest St. & Sylvan St."
"1060148","106","7","Inbound","Wellington via Forest St. & Sylvan St."
"1060173","106","_","Outbound","Lebanon Loop via Main St."
"1060175","106","7","Outbound","Franklin Square via Malden Station"
"1060176","106","6","Outbound","Linwood Ave. & Lynde St. via Main St."
"1080065","108","7","Outbound","Linden Square via Salem St."
"1080066","108","7","Inbound","Malden Station via Salem St."
"1080073","108","2","Outbound","Linden Square via Salem St."
"1080112","108","6","Outbound","Linden Square via Highland Ave."
"1080113","108","6","Inbound","Wellington via Highland Ave."
"1080114","108","1","Inbound","Wellington via Pearl St."
"1080115","108","1","Outbound","Linden Square via Pearl St."
"1090070","109","1","Outbound","Glendale via Broadway"
"1090107","109","_","Inbound","Sullivan Square via Broadway"
"1090108","109","1","Inbound","Sullivan Square via Broadway"
"1090114","109","_","Outbound","Linden Square via Broadway"
"1100053","110","4","Outbound","Broadway & Park via Woodlawn"
"1100054","110","4","Inbound","Wellington via Woodlawn"
"1100055","110","_","Inbound","Wellington via Woodlawn"
"1100056","110","_","Outbound","Wonderland via Woodlawn"
"1100057","110","2","Outbound","Woodlawn via Broadway"
"110064","11","3ou","Outbound","Bayview"
"110070","11","2ou","Outbound","Bayview"
"110074","11","3","Inbound","Downtown"
"110075","11","4","Inbound","Downtown"
"110076","11","2","Inbound","Kneeland St"
"1110154","111","2","Inbound","Haymarket via Tobin"
"1110155","111","5","Inbound","Haymarket via Tobin"
"1110156","111","8","Inbound","Haymarket via Tobin"
