old_route_id_short,via_variant,old_direction,new_direction,replace_route_id,new_route_id_short,replace_via_variant,new_via_variant
245,8,Outbound,Quincy Center via Brook Rd & Alleyne St,0,,0,
01,_,Inbound,Dudley,1,1,0,
01,_,Outbound,Harvard,1,1,0,
04,_,Inbound,Tide St,1,4,0,
04,_,Outbound,North Station via South Station,1,4,0,
04,1,Inbound,Tide St via South Station,1,4,0,
04,1,Outbound,North Station,1,4,0,
05,_,Inbound,McCormack,1,5,0,
05,_,Outbound,City Point,1,5,0,
07,1,Inbound,Otis & Summer,1,7,0,
07,2,Inbound,Otis & Summer,1,7,0,
07,1,Outbound,City Point,1,7,0,
07,2,Outbound,City Point via East First St,1,7,0,
07,3,Inbound,Downtown via Harbor Industrial Park,1,7,0,
07,4,Outbound,City Point via Harbor Industrial Park,1,7,0,
07,7,Outbound,City Point via East First St,1,7,0,
08,1,Inbound,Kenmore,1,8,0,
08,1,Outbound,Harbor Point,1,8,0,
08,2,Outbound,Dudley,1,8,0,
08,3,Inbound,Kenmore,1,8,0,
08,3,Outbound,Ruggles,1,8,0,
08,9,Inbound,Kenmore via South Bay Center,1,8,0,
08,9,Outbound,Harbor Point via South Bay Center,1,8,0,
08,D,Inbound,Kenmore,1,8,0,
08,D,Outbound,Ruggles,1,8,0,
09,_,Inbound,Copley,1,9,0,
09,_,Outbound,City Point,1,9,0,
09,1,Outbound,City Point,1,9,0,
09,3,Inbound,Broadway,1,9,0,
09,4,Inbound,Kenmore via Boston Latin,1,9,0,
09,5,Outbound,City Point via Andrew,1,9,0,
10,_,Inbound,Copley,0,,0,
10,_,Outbound,City Point,0,,0,
10,2,Inbound,Townsend & Humboldt,0,,0,
100,_,Inbound,Fellsway Garage via Fellsway,0,,0,
100,_,Outbound,Elm St,0,,0,
100,1,Inbound,Wellington,0,,0,
100,1,Outbound,Roosevelt Circle via Fellsway,0,,0,
100,3,Inbound,Wellington,0,,0,
100,3,Outbound,Elm St,0,,0,
10,1,Inbound,Dudley,0,,0,
10,1,Outbound,City Point,0,,0,
101,_,Inbound,Sullivan,0,,0,
101,_,Outbound,Stevens Square,0,,0,
101,1,Inbound,Sullivan,0,,0,
101,1,Outbound,Medford Square,0,,0,
101,2,Outbound,Winthrop St & Brooks St,0,,0,
101,3,Inbound,Sullivan,0,,0,
101,3,Outbound,Malden,0,,0,
101,4,Inbound,Sullivan,0,,1,3
101,4,Outbound,Malden,0,,0,
101,8,Inbound,Sullivan,0,,0,
10,2,Outbound,City Point,0,,0,
10,3,Outbound,Andrew via Boston Medical Center,0,,0,
10,4,Outbound,City Point,0,,0,
104,_,Inbound,Sullivan,0,,0,
104,_,Outbound,Malden,0,,0,
10,5,Outbound,City Point,0,,0,
10,E,Outbound,City Point,0,,0,
105,1,Inbound,Sullivan,0,,0,
105,1,Outbound,Malden,0,,0,
10,6,Outbound,Andrew via South Bay Center,0,,0,
106,_,Inbound,Wellington,0,,0,
106,_,Outbound,Lebanon Loop,0,,0,
106,3,Inbound,Wellington,0,,0,
106,4,Inbound,Malden,0,,0,
106,4,Outbound,Lebanon Loop,0,,0,
106,5,Inbound,Malden,0,,0,
106,5,Outbound,Linwood & Lynde,0,,0,
106,6,Outbound,Linwood & Lynde,0,,0,
106,7,Inbound,Wellington,0,,0,
106,7,Outbound,Franklin Square,0,,0,
106,8,Outbound,Lebanon Loop,0,,0,
106,9,Outbound,Lebanon Loop,0,,0,
106,F,Outbound,Franklin Square via Lebanon Loop,0,,0,
10,8,Outbound,City Point,0,,0,
108,1,Inbound,Wellington via Pearl St,0,,0,
108,1,Outbound,Linden Square via Pearl St,0,,0,
108,2,Outbound,Linden Square,0,,0,
108,3,Outbound,Linden Square,0,,0,
108,6,Inbound,Wellington,0,,0,
108,6,Outbound,Linden Square,0,,0,
108,7,Inbound,Malden,0,,0,
108,7,Outbound,Linden Square,0,,0,
108,8,Inbound,Malden,0,,0,
10,9,Inbound,Copley via South Bay Center,0,,0,
10,9,Outbound,City Point via South Bay Center,0,,0,
109,_,Inbound,Sullivan,0,,0,
109,_,Outbound,Linden Square,0,,0,
109,1,Inbound,Sullivan,0,,0,
109,1,Outbound,Glendale Square,0,,0,
110,_,Inbound,Wellington,0,,0,
110,_,Outbound,Wonderland,0,,0,
110,2,Outbound,Woodlawn,0,,0,
110,4,Inbound,Wellington,0,,0,
110,4,Outbound,Broadway & Park,0,,0,
110,9,Outbound,Ferry & Elm,0,,0,
111,2,Inbound,Haymarket,0,,0,
111,2,Outbound,Cary Square,0,,0,
111,5,Inbound,Haymarket,0,,0,
111,5,Outbound,Woodlawn,0,,0,
111,6,Inbound,Haymarket,0,,0,
111,8,Inbound,Haymarket,0,,0,
111,8,Outbound,Broadway & Park,0,,0,
11,2,Inbound,Kneeland St,0,,0,
11,2,Outbound,Bayview,0,,0,
112,_,Inbound,Wood Island via Market Basket & Admiral's Hill,0,,0,
112,_,Outbound,Wellington via Admiral's Hill & Market Basket,0,,0,
112,1,Inbound,Wood Island via Soldiers' Home & Admiral's Hill,0,,0,
112,1,Outbound,Wellington via Admiral's Hill & Soldiers' Home,0,,0,
112,2,Outbound,Wellington via Central Ave & Admiral's Hill,0,,0,
11,3,Inbound,Downtown,0,,0,
11,3,Outbound,Bayview,0,,0,
11,4,Inbound,Downtown,0,,1,3
114,_,Inbound,Maverick,0,,0,
114,_,Outbound,Bellingham Square,0,,0,
114,1,Inbound,Maverick,0,,0,
114,1,Outbound,Market Basket,0,,0,
114,2,Inbound,Maverick,0,,0,
116,4,Inbound,Maverick,0,,0,
116,4,Outbound,Wonderland,0,,0,
116,7,Inbound,Maverick,1,116117,0,
116,7,Outbound,Bellingham Square,1,116117,0,
116,9,Outbound,Wonderland,0,,0,
117,_,Inbound,Haymarket via Maverick,0,,0,
117,_,Outbound,Wonderland via Maverick,0,,0,
117,1,Outbound,Logan Airport Terminal C,0,,0,
117,2,Outbound,Maverick,0,,0,
117,5,Inbound,Maverick,0,,0,
117,5,Outbound,Wonderland,0,,0,
117,9,Inbound,Broadway & Central,0,,0,
119,1,Inbound,Beachmont,0,,0,
119,1,Outbound,Northgate,0,,0,
119,2,Inbound,Beachmont,0,,0,
119,2,Outbound,Linden Square,0,,0,
119,3,Inbound,Beachmont via Tomasello Way,0,,0,
119,3,Outbound,Northgate via Tomasello Way,0,,0,
120,_,Inbound,Maverick via Jeffries Point,0,,0,
120,_,Outbound,Orient Heights,0,,0,
120,1,Inbound,Maverick,0,,0,
120,1,Outbound,Orient Heights,0,,0,
120,4,Outbound,Orient Heights,0,,0,
120,5,Outbound,Orient Heights,0,,0,
120,6,Outbound,Orient Heights,0,,0,
121,_,Inbound,Maverick,0,,0,
121,_,Outbound,Wood Island,0,,0,
121,2,Inbound,Maverick,0,,0,
121,2,Outbound,Eagle Square,0,,0,
131,_,Inbound,Oak Grove via East Side,0,,0,
131,_,Outbound,Melrose Highlands via East Side,0,,0,
131,1,Outbound,Melrose Highlands,0,,0,
131,2,Inbound,Malden,0,,0,
131,2,Outbound,Melrose Highlands,0,,0,
131,3,Inbound,Malden,0,,0,
131,4,Inbound,Oak Grove,0,,0,
131,4,Outbound,Melrose Highlands,0,,0,
132,_,Inbound,Malden,0,,0,
132,_,Outbound,Redstone,0,,0,
134,1,Inbound,Wellington via Veterans Senior Center,0,,0,
134,2,Inbound,Wellington via Veterans Senior Center,0,,0,
134,2,Outbound,North Woburn via Veterans Senior Center,0,,0,
134,3,Inbound,Wellington,0,,0,
134,3,Outbound,North Woburn,0,,0,
134,4,Inbound,Middlesex Ave & Second St,0,,0,
134,4,Outbound,Winthrop St & Brooks St,0,,0,
134,5,Inbound,Wellington,0,,0,
134,5,Outbound,North Woburn,0,,0,
134,6,Inbound,Wellington,0,,0,
134,6,Outbound,Winthrop St,0,,0,
134,7,Inbound,Wellington,0,,0,
134,7,Outbound,Medford Square,0,,0,
134,9,Inbound,Wellington,0,,0,
134,9,Outbound,Woburn Square,0,,0,
134,C,Inbound,Wellington,0,,0,
134,C,Outbound,Winthrop St,0,,0,
136,3,Inbound,Oak Grove,0,,0,
136,3,Outbound,Wakefield Square,0,,0,
136,4,Inbound,Malden,0,,0,
136,4,Outbound,Wakefield Square,0,,0,
136,5,Inbound,Malden,0,,0,
136,5,Outbound,Reading Depot,0,,0,
137,3,Inbound,Malden,0,,0,
137,3,Outbound,Reading Depot,0,,0,
14,_,Inbound,Heath St,0,,0,
14,_,Outbound,Roslindale Square,0,,0,
14,1,Inbound,Dudley,0,,0,
14,1,Outbound,Roslindale Square,0,,0,
14,2,Inbound,Heath St,0,,0,
